"Timestamp","320.005-SB401_R_Tl_Etl","320.005-RT503_Tl_Etl"
"23/02/2022 21:08:00","60,000","41,810"
"23/02/2022 21:07:00","60,000","41,800"
"23/02/2022 21:06:00","60,000","41,780"
"23/02/2022 21:05:00","60,000","41,770"
"23/02/2022 21:04:00","60,000","41,760"
"23/02/2022 21:03:00","60,000","41,740"
"23/02/2022 21:02:00","60,000","41,730"
"23/02/2022 21:01:00","60,000","41,710"
"23/02/2022 21:00:00","60,000","41,680"
"23/02/2022 20:59:00","60,000","41,670"
"23/02/2022 20:58:00","60,000","41,640"
"23/02/2022 20:57:00","60,000","41,630"
"23/02/2022 20:56:00","60,000","41,600"
"23/02/2022 20:55:00","60,000","41,580"
"23/02/2022 20:54:00","60,000","41,550"
"23/02/2022 20:53:00","60,000","41,520"
"23/02/2022 20:52:00","60,000","41,500"
"23/02/2022 20:51:00","60,000","41,470"
"23/02/2022 20:50:00","60,000","41,460"
"23/02/2022 20:49:00","60,000","41,430"
"23/02/2022 20:48:00","60,000","41,420"
"23/02/2022 20:47:00","60,000","41,400"
"23/02/2022 20:46:00","60,000","41,390"
"23/02/2022 20:45:00","60,000","41,370"
"23/02/2022 20:44:00","60,000","41,350"
"23/02/2022 20:43:00","60,000","41,330"
"23/02/2022 20:42:00","60,000","41,310"
"23/02/2022 20:41:00","60,000","41,300"
"23/02/2022 20:40:00","60,000","41,280"
"23/02/2022 20:39:00","60,000","41,270"
"23/02/2022 20:38:00","60,000","41,250"
"23/02/2022 20:37:00","60,000","41,230"
"23/02/2022 20:36:00","60,000","41,210"
"23/02/2022 20:35:00","60,000","41,180"
"23/02/2022 20:34:00","60,000","41,160"
"23/02/2022 20:33:00","60,000","41,150"
"23/02/2022 20:32:00","60,000","41,120"
"23/02/2022 20:31:00","60,000","41,110"
"23/02/2022 20:30:00","60,000","41,090"
"23/02/2022 20:29:00","60,000","41,070"
"23/02/2022 20:28:00","60,000","41,050"
"23/02/2022 20:27:00","60,000","41,030"
"23/02/2022 20:26:00","60,000","41,010"
"23/02/2022 20:25:00","60,000","40,980"
"23/02/2022 20:24:00","60,000","40,960"
"23/02/2022 20:23:00","60,000","40,940"
"23/02/2022 20:22:00","60,000","40,910"
"23/02/2022 20:21:00","60,000","40,890"
"23/02/2022 20:20:00","60,000","40,870"
"23/02/2022 20:19:00","60,000","40,840"
"23/02/2022 20:18:00","60,000","40,810"
"23/02/2022 20:17:00","60,000","40,790"
"23/02/2022 20:16:00","60,000","40,760"
"23/02/2022 20:15:00","60,000","40,730"
"23/02/2022 20:14:00","60,000","40,700"
"23/02/2022 20:13:00","60,000","40,670"
"23/02/2022 20:12:00","60,000","40,630"
"23/02/2022 20:11:00","60,000","40,600"
"23/02/2022 20:10:00","60,000","40,550"
"23/02/2022 20:09:00","60,000","40,510"
"23/02/2022 20:08:00","60,000","40,470"
"23/02/2022 20:07:00","60,000","40,430"
"23/02/2022 20:06:00","60,000","40,390"
"23/02/2022 20:05:00","60,000","40,330"
"23/02/2022 20:04:00","60,000","40,270"
"23/02/2022 20:03:00","60,000","40,210"
"23/02/2022 20:02:00","60,000","40,150"
"23/02/2022 20:01:00","60,000","40,090"
"23/02/2022 20:00:00","60,000","40,000"
"23/02/2022 19:59:00","60,000","39,940"
"23/02/2022 19:58:00","60,000","39,860"
"23/02/2022 19:57:00","60,000","39,780"
"23/02/2022 19:56:00","60,000","39,700"
"23/02/2022 19:55:00","60,000","39,600"
"23/02/2022 19:54:00","60,000","39,520"
"23/02/2022 19:53:00","60,000","39,420"
"23/02/2022 19:52:00","60,000","39,320"
"23/02/2022 19:51:00","60,000","39,220"
"23/02/2022 19:50:00","60,000","39,100"
"23/02/2022 19:49:00","60,000","38,960"
"23/02/2022 19:48:00","60,000","38,830"
"23/02/2022 19:47:00","60,000","38,660"
"23/02/2022 19:46:00","60,000","38,480"
"23/02/2022 19:45:00","60,000","38,290"
"23/02/2022 19:44:00","60,000","38,050"
"23/02/2022 19:43:00","60,000","37,820"
"23/02/2022 19:42:00","60,000","37,590"
"23/02/2022 19:41:00","60,000","37,370"
"23/02/2022 19:40:00","60,000","37,190"
"23/02/2022 19:39:00","60,000","37,040"
"23/02/2022 19:38:00","60,000","36,900"
"23/02/2022 19:37:00","60,000","36,790"
"23/02/2022 19:36:00","60,000","36,690"
"23/02/2022 19:35:00","60,000","36,650"
"23/02/2022 19:34:00","60,000","36,630"
"23/02/2022 19:33:00","60,000","36,600"
"23/02/2022 19:32:00","60,000","36,600"
"23/02/2022 19:31:00","60,000","36,610"
"23/02/2022 19:30:00","60,000","36,610"
"23/02/2022 19:29:00","60,000","36,620"
"23/02/2022 19:28:00","40,000","36,620"
"23/02/2022 19:27:00","40,000","36,630"
"23/02/2022 19:26:00","40,000","36,630"
"23/02/2022 19:25:00","40,000","36,630"
"23/02/2022 19:24:00","40,000","36,640"
